0,suspicious_char_path,len_path,top_tld,suspicious_word_domain,num_special_char_domain,https_protocol,num_slash,num_dots,url_length,is_threat_threat
,0.0,82.0,0.0,0.0,0.0,0.0,3.0,2.0,82.0,True
,0.0,36.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,False
,0.0,20.0,0.0,0.0,0.0,0.0,2.0,2.0,20.0,True
,0.0,67.0,0.0,0.0,0.0,0.0,6.0,2.0,67.0,False
,0.0,56.0,0.0,0.0,0.0,0.0,5.0,3.0,178.0,False
,0.0,27.0,0.0,0.0,0.0,0.0,2.0,1.0,27.0,True
,0.0,39.0,0.0,0.0,0.0,0.0,2.0,2.0,47.0,False
,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,True
,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,False
,0.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,False
,0.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,157.0,True
,0.0,27.0,0.0,0.0,0.0,0.0,2.0,2.0,27.0,True
,0.0,14.0,1.0,0.0,0.0,0.0,4.0,2.0,39.0,True
,0.0,46.0,0.0,0.0,0.0,0.0,2.0,2.0,46.0,True
,0.0,40.0,0.0,0.0,0.0,0.0,2.0,4.0,40.0,True
,0.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,130.0,True
,0.0,4.0,1.0,0.0,0.0,0.0,9.0,3.0,65.0,True
,0.0,70.0,0.0,0.0,0.0,0.0,4.0,3.0,102.0,True
,0.0,45.0,0.0,0.0,0.0,0.0,4.0,1.0,45.0,True
,0.0,47.0,0.0,0.0,0.0,0.0,5.0,2.0,66.0,True
,0.0,44.0,0.0,0.0,0.0,0.0,3.0,1.0,44.0,True
,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,False
,0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,False
,0.0,52.0,1.0,0.0,0.0,0.0,8.0,3.0,105.0,False
,0.0,30.0,0.0,0.0,0.0,0.0,1.0,3.0,30.0,False
,0.0,32.0,0.0,0.0,0.0,0.0,2.0,1.0,32.0,True
,0.0,31.0,0.0,0.0,0.0,0.0,1.0,3.0,31.0,False
,0.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,False
,0.0,47.0,1.0,0.0,0.0,0.0,4.0,2.0,70.0,True
,0.0,84.0,0.0,0.0,0.0,0.0,5.0,2.0,84.0,False
,0.0,61.0,0.0,0.0,0.0,0.0,2.0,2.0,61.0,False
,0.0,14.0,1.0,0.0,0.0,0.0,4.0,1.0,42.0,True
,0.0,82.0,0.0,0.0,0.0,0.0,4.0,3.0,82.0,False
,0.0,89.0,0.0,0.0,0.0,0.0,1.0,2.0,89.0,True
,0.0,84.0,1.0,0.0,0.0,0.0,7.0,1.0,103.0,False
,0.0,31.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,True
,0.0,35.0,0.0,0.0,0.0,0.0,3.0,1.0,35.0,True
,0.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,True
,0.0,22.0,0.0,0.0,0.0,0.0,3.0,1.0,60.0,False
,0.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,False
